Date	Open	High	Low	Close*	Adj Close**	Volume
Sep 08, 2017	1,364.77	1,366.16	1,361.88	1,363.43	1,363.43	-
Sep 07, 2017	1,365.91	1,367.45	1,362.52	1,365.09	1,365.09	-
Sep 06, 2017	1,361.95	1,368.08	1,361.95	1,365.77	1,365.77	-
Sep 05, 2017	1,372.40	1,372.40	1,355.69	1,361.85	1,361.85	-
Sep 01, 2017	1,370.11	1,374.67	1,370.11	1,372.65	1,372.65	-
Aug 31, 2017	1,361.67	1,371.33	1,361.67	1,369.61	1,369.61	-
Aug 30, 2017	1,354.59	1,362.50	1,353.17	1,361.17	1,361.17	-
Aug 29, 2017	1,353.01	1,355.98	1,345.09	1,354.43	1,354.43	-
Aug 28, 2017	1,353.50	1,356.46	1,350.75	1,353.58	1,353.58	-
Aug 25, 2017	1,350.96	1,358.85	1,350.96	1,353.12	1,353.12	-
Aug 24, 2017	1,353.36	1,356.88	1,349.51	1,350.80	1,350.80	-
Aug 23, 2017	1,356.92	1,356.92	1,351.63	1,353.21	1,353.21	-
Aug 22, 2017	1,344.66	1,358.70	1,344.66	1,357.48	1,357.48	-
Aug 21, 2017	1,342.70	1,345.25	1,338.24	1,344.15	1,344.15	-
Aug 18, 2017	1,345.01	1,350.44	1,339.90	1,342.68	1,342.68	-
Aug 17, 2017	1,366.04	1,366.04	1,345.14	1,345.14	1,345.14	-
Aug 16, 2017	1,364.40	1,369.93	1,364.07	1,366.21	1,366.21	-
Aug 15, 2017	1,365.25	1,366.46	1,362.46	1,363.91	1,363.91	-
Aug 14, 2017	1,351.99	1,366.25	1,351.99	1,364.94	1,364.94	-
Aug 11, 2017	1,349.72	1,354.68	1,349.10	1,351.33	1,351.33	-
Aug 10, 2017	1,369.12	1,369.12	1,349.04	1,349.25	1,349.25	-
Aug 09, 2017	1,370.27	1,370.27	1,363.40	1,369.31	1,369.31	-
Aug 08, 2017	1,373.71	1,379.34	1,367.96	1,370.42	1,370.42	-
Aug 07, 2017	1,371.76	1,373.86	1,371.12	1,373.85	1,373.85	-
Aug 04, 2017	1,368.95	1,373.08	1,368.95	1,371.76	1,371.76	-
Aug 03, 2017	1,371.68	1,371.79	1,367.16	1,368.90	1,368.90	-
Aug 02, 2017	1,371.83	1,374.15	1,365.60	1,371.73	1,371.73	-
Aug 01, 2017	1,368.84	1,373.14	1,368.84	1,371.89	1,371.89	-
Jul 31, 2017	1,369.71	1,372.74	1,367.31	1,368.57	1,368.57	-
Jul 28, 2017	1,371.09	1,371.09	1,365.94	1,369.58	1,369.58	-
Jul 27, 2017	1,374.05	1,376.67	1,363.27	1,371.50	1,371.50	-
Jul 26, 2017	1,373.64	1,375.61	1,372.12	1,373.53	1,373.53	-
Jul 25, 2017	1,369.41	1,375.75	1,369.41	1,373.55	1,373.55	-
Jul 24, 2017	1,370.08	1,370.84	1,367.16	1,369.24	1,369.24	-
Jul 21, 2017	1,370.05	1,370.13	1,366.13	1,370.12	1,370.12	-
Jul 20, 2017	1,371.43	1,372.98	1,368.09	1,370.71	1,370.71	-
Jul 19, 2017	1,363.52	1,371.00	1,363.52	1,371.00	1,371.00	-
Jul 18, 2017	1,362.53	1,363.37	1,357.79	1,363.23	1,363.23	-
Jul 17, 2017	1,362.69	1,364.60	1,361.46	1,362.64	1,362.64	-
Jul 14, 2017	1,356.38	1,364.94	1,356.03	1,362.61	1,362.61	-
Jul 13, 2017	1,354.00	1,357.13	1,352.82	1,356.41	1,356.41	-
Jul 12, 2017	1,345.14	1,355.25	1,345.14	1,353.93	1,353.93	-
Jul 11, 2017	1,344.69	1,346.08	1,337.20	1,344.12	1,344.12	-
Jul 10, 2017	1,343.76	1,347.12	1,342.31	1,344.67	1,344.67	-
Jul 07, 2017	1,335.18	1,344.61	1,335.18	1,343.78	1,343.78	-
Jul 06, 2017	1,347.22	1,347.22	1,333.78	1,334.88	1,334.88	-
Jul 05, 2017	1,346.91	1,349.49	1,342.83	1,348.18	1,348.18	-
Jul 03, 2017	1,344.26	1,352.31	1,344.26	1,346.86	1,346.86	-
Jun 30, 2017	1,342.31	1,348.53	1,342.31	1,343.52	1,343.52	-
Jun 29, 2017	1,352.95	1,354.06	1,333.45	1,341.36	1,341.36	-
Jun 28, 2017	1,341.60	1,354.24	1,341.60	1,353.01	1,353.01	-
Jun 27, 2017	1,351.61	1,352.84	1,341.03	1,341.03	1,341.03	-
Jun 26, 2017	1,352.15	1,358.11	1,350.65	1,352.22	1,352.22	-
Jun 23, 2017	1,348.72	1,352.91	1,347.04	1,351.39	1,351.39	-
Jun 22, 2017	1,349.02	1,352.52	1,347.70	1,348.68	1,348.68	-
Jun 21, 2017	1,350.39	1,353.04	1,346.47	1,348.99	1,348.99	-
Jun 20, 2017	1,358.89	1,358.89	1,349.81	1,350.06	1,350.06	-
Jun 19, 2017	1,347.90	1,359.70	1,342.68	1,359.50	1,359.50	-
Jun 16, 2017	1,347.90	1,348.27	1,342.68	1,348.27	1,348.27	-
Jun 15, 2017	1,350.66	1,350.66	1,340.74	1,348.10	1,348.10	-
Jun 14, 2017	1,353.84	1,354.88	1,346.31	1,351.36	1,351.36	-
Jun 13, 2017	1,346.95	1,353.49	1,346.95	1,352.99	1,352.99	-
Jun 12, 2017	1,346.43	1,346.83	1,341.21	1,346.41	1,346.41	-
Jun 09, 2017	1,348.88	1,355.68	1,339.38	1,347.51	1,347.51	-
Jun 08, 2017	1,347.92	1,351.51	1,345.49	1,348.69	1,348.69	-
Jun 07, 2017	1,346.57	1,349.23	1,343.50	1,347.98	1,347.98	-
Jun 06, 2017	1,349.54	1,349.94	1,345.25	1,346.12	1,346.12	-
Jun 05, 2017	1,352.15	1,352.15	1,349.34	1,350.00	1,350.00	-
Jun 02, 2017	1,347.37	1,352.88	1,345.93	1,352.09	1,352.09	-
Jun 01, 2017	1,336.31	1,347.28	1,336.31	1,347.28	1,347.28	-
May 31, 2017	1,336.98	1,338.21	1,331.06	1,336.18	1,336.18	-
May 30, 2017	1,338.17	1,338.17	1,334.88	1,336.52	1,336.52	-
May 26, 2017	1,338.37	1,339.00	1,336.67	1,338.57	1,338.57	-
May 25, 2017	1,333.78	1,340.19	1,333.78	1,338.25	1,338.25	-
May 24, 2017	1,329.30	1,333.30	1,329.21	1,332.68	1,332.68	-
May 23, 2017	1,327.24	1,330.70	1,326.66	1,329.23	1,329.23	-
May 22, 2017	1,320.33	1,327.76	1,320.33	1,326.99	1,326.99	-
May 19, 2017	1,311.23	1,324.06	1,311.23	1,320.02	1,320.02	-
May 18, 2017	1,306.22	1,316.08	1,303.70	1,310.83	1,310.83	-
May 17, 2017	1,328.00	1,328.00	1,305.74	1,306.12	1,306.12	-
May 16, 2017	1,331.89	1,333.09	1,327.60	1,330.28	1,330.28	-
May 15, 2017	1,324.77	1,332.44	1,324.77	1,331.32	1,331.32	-
May 12, 2017	1,326.76	1,326.76	1,322.85	1,324.73	1,324.73	-
May 11, 2017	1,329.59	1,329.59	1,319.95	1,326.93	1,326.93	-
May 10, 2017	1,328.43	1,330.26	1,326.33	1,330.22	1,330.22	-
May 09, 2017	1,329.86	1,331.99	1,326.01	1,328.46	1,328.46	-
May 08, 2017	1,330.15	1,331.16	1,326.63	1,329.68	1,329.68	-
May 05, 2017	1,324.13	1,330.23	1,324.13	1,330.23	1,330.23	-
May 04, 2017	1,324.10	1,325.16	1,318.85	1,324.05	1,324.05	-
May 03, 2017	1,325.97	1,325.97	1,319.62	1,323.86	1,323.86	-
May 02, 2017	1,325.07	1,327.59	1,323.68	1,326.24	1,326.24	-
May 01, 2017	1,322.78	1,328.44	1,322.77	1,325.00	1,325.00	-
Apr 28, 2017	1,326.37	1,327.50	1,321.54	1,322.44	1,322.44	-
Apr 27, 2017	1,324.81	1,327.48	1,322.36	1,325.72	1,325.72	-
Apr 26, 2017	1,325.21	1,330.51	1,324.48	1,324.83	1,324.83	-
Apr 25, 2017	1,317.61	1,327.29	1,317.61	1,325.20	1,325.20	-
Apr 24, 2017	1,304.48	1,318.70	1,304.48	1,317.19	1,317.19	-
Apr 21, 2017	1,307.12	1,307.25	1,301.07	1,303.24	1,303.24	-
Apr 20, 2017	1,297.95	1,309.89	1,297.95	1,307.14	1,307.14	-
Apr 19, 2017	1,299.26	1,304.89	1,295.62	1,297.30	1,297.30	-
Apr 18, 2017	1,301.94	1,302.14	1,294.68	1,299.09	1,299.09	-
Apr 17, 2017	1,291.54	1,302.58	1,291.54	1,302.56	1,302.56	-
Apr 13, 2017	1,299.91	1,301.87	1,291.27	1,291.27	1,291.27	-
Apr 12, 2017	1,305.67	1,305.67	1,298.42	1,300.21	1,300.21	-
Apr 11, 2017	1,306.71	1,306.71	1,296.55	1,305.71	1,305.71	-
